SlNo,Qno.,Species Name,Number Ind
558,20,Naragami aalata,21
559,20,Clerodendrum viscosum,1
560,20,Hyptis suaveolens,1
561,20,Phalaenopsis imbricata,4
562,20,Zizyphus oenoplia,1
563,20,Axonopus copmpressus,18
564,20,Stachytarpheta indica,3
565,20,Clerodendrum viscosum,2
566,20,Glycosmis pentaphylla,3
567,20,Eupatorium odoratum,2
568,20,Jasminum reottelarianum,1
569,20,Hyptis suaveolens,5
570,20,Evodia lanu-ankenda,1
571,20,Zizyphus oenoplia,1
572,20,Lepidagathis cuspidata,1
573,20,Phalaenopsis imbricata,1
574,20,Andrographis atropurpurea,1
575,20,Eupatorium odoratum,2
576,20,Clerodendrum viscosum,3
577,20,Glycosmis pentaphylla,5
578,20,Stachytarpheta indica,1
579,20,Sida rhombifolia,1
580,20,Zizyphus oenoplia,1
581,20,Phalaenopsis imbricata,10
582,20,Naragami aalata,2
583,21,Eupatorium odoratum,4
584,21,Clerodendrum viscosum,3
585,21,Aporusa lindleyana,1
586,21,Hyptis suaveolens,2
587,21,Cryptolepis buchanani,2
588,21,Zizyphus oenoplia,1
589,21,Cyclea peltata,1
590,21,Naragami aalata,3
591,21,Hedyotis biflora,1
592,21,Stachytarpheta indica,1
593,21,Eupatorium odoratum,8
594,21,Clerodendrum viscosum,4
595,21,Stachytarpheta indica,1
596,21,Phalaenopsis imbricata,11
597,21,Jasminum reottelarianum,1
598,21,Stenochlaena palustris,1
599,21,Hyptis suaveolens,2
600,21,Ichnocarpus frutescens,2
601,21,Zizyphus oenoplia,1
602,21,Naragami aalata,30
603,21,Eupatorium odoratum,3
604,21,Phalaenopsis imbricata,2
605,21,Hemidesmus indicus,1
606,21,Eupatorium odoratum,3
607,21,Macaranga peltata,1
608,21,Glycosmis pentaphylla,1
609,21,Evodia lanu-ankenda,1
610,21,Helicteres isora,1
611,21,Hyptis suaveolens,1
612,21,Jasminum reottelarianum,1
613,21,Naragami aalata,15
614,21,Phalaenopsis imbricata,2
615,22,Hyptis suaveolens,53
616,22,Spermacoce articularis,71
617,22,Lindernia antipoda,27
618,22,Cyperus sps,24
619,22,Peperomia pellucida,8
620,22,Fern?,18
621,22,Axonopus copmpressus,24
622,22,Peperomia pellucida,5
623,22,Commelina sps,9
624,22,Sesamum indicum,1
625,22,Hyptis suaveolens,54
626,22,Spermacoce articularis,58
627,22,Allmania nudiflora,1
628,22,Commelina sps,23
629,22,Phyllanthus sps,2
630,22,Biophytum sensitivum,5
631,22,Hedyotis herbacea,2
